Timestamp,Load
01/09/2022 22:00,477
01/09/2022 23:00,466
01/10/2022 0:00,454
01/10/2022 1:00,444
01/10/2022 2:00,438
01/10/2022 3:00,422
01/10/2022 4:00,436
01/10/2022 5:00,446
01/10/2022 6:00,478
01/10/2022 7:00,531
01/10/2022 8:00,599
01/10/2022 9:00,620
01/10/2022 10:00,660
01/10/2022 11:00,655
01/10/2022 12:00,660
01/10/2022 13:00,686
01/10/2022 14:00,671
01/10/2022 15:00,668
01/10/2022 16:00,639
01/10/2022 17:00,624
01/10/2022 18:00,602
01/10/2022 19:00,582
01/10/2022 20:00,568
01/10/2022 21:00,549
01/10/2022 22:00,537
01/10/2022 23:00,518
01/11/2022 0:00,510
01/11/2022 1:00,493
01/11/2022 2:00,489
01/11/2022 3:00,481
01/11/2022 4:00,477
01/11/2022 5:00,483
01/11/2022 6:00,505
01/11/2022 7:00,572
01/11/2022 8:00,642
01/11/2022 9:00,676
01/11/2022 10:00,687
01/11/2022 11:00,679
01/11/2022 12:00,688
01/11/2022 13:00,699
01/11/2022 14:00,691
01/11/2022 15:00,679
01/11/2022 16:00,631
01/11/2022 17:00,626
01/11/2022 18:00,604
01/11/2022 19:00,582
01/11/2022 20:00,564
01/11/2022 21:00,547
01/11/2022 22:00,533
01/11/2022 23:00,512
01/12/2022 0:00,504
01/12/2022 1:00,502
01/12/2022 2:00,495
01/12/2022 3:00,487
01/12/2022 4:00,491
01/12/2022 5:00,498
01/12/2022 6:00,510
01/12/2022 7:00,570
01/12/2022 8:00,645
01/12/2022 9:00,682
01/12/2022 10:00,693
01/12/2022 11:00,684
01/12/2022 12:00,697
01/12/2022 13:00,716
01/12/2022 14:00,698
01/12/2022 15:00,681
01/12/2022 16:00,644
01/12/2022 17:00,624
01/12/2022 18:00,608
01/12/2022 19:00,593
01/12/2022 20:00,579
01/12/2022 21:00,561
01/12/2022 22:00,555
01/12/2022 23:00,535
01/13/2022 00:00,523
01/13/2022 01:00,512
01/13/2022 02:00,503
01/13/2022 03:00,497
01/13/2022 04:00,493
01/13/2022 05:00,499
01/13/2022 06:00,517
01/13/2022 07:00,581
01/13/2022 08:00,648
01/13/2022 09:00,679
01/13/2022 10:00,699
01/13/2022 11:00,687
01/13/2022 12:00,699
01/13/2022 13:00,715
01/13/2022 14:00,703
01/13/2022 15:00,684
01/13/2022 16:00,655
01/13/2022 17:00,637
01/13/2022 18:00,610
01/13/2022 19:00,595
01/13/2022 20:00,582
01/13/2022 21:00,561
01/13/2022 22:00,545
01/13/2022 23:00,523
01/14/2022 00:00,513
01/14/2022 01:00,509
01/14/2022 02:00,499
01/14/2022 03:00,495
01/14/2022 04:00,491
01/14/2022 05:00,498
01/14/2022 06:00,519
01/14/2022 07:00,582
01/14/2022 08:00,668
01/14/2022 09:00,695
01/14/2022 10:00,700
